locality,locality_aka,state,country,iso3,continent,lat,lon
Simpang Dolok,[],,Indonesia,IDN,Asia,3.1960174,99.490098
Tanjung Tiram,[Laboehanroekoe],,Indonesia,IDN,Asia,3.222272,99.580935
Beureunuen,[],,Indonesia,IDN,Asia,5.281435,95.97682
Bireuen,[],,Indonesia,IDN,Asia,5.202074,96.702518
Madiun,[],,Indonesia,IDN,Asia,-7.6290837,111.5168819
Sidoarjo,[],,Indonesia,IDN,Asia,-7.446901,112.717028
Tulungagung,[],,Indonesia,IDN,Asia,-8.0729035,111.8996408
Cilegon,[],,Indonesia,IDN,Asia,-6.017389,106.0537688
Padalarang,[],,Indonesia,IDN,Asia,-6.8422655,107.4969093
Ciranjang,[],,Indonesia,IDN,Asia,-6.8142021,107.25121
Honda,[],,Colombia,COL,Asia,5.210419,-74.7361921
La Dorada,[],,Colombia,COL,Asia,5.4457655,-74.6618458
Marinilla,[],,Colombia,COL,Asia,6.1736417,-75.3346548
Klaten,[],,Indonesia,IDN,Asia,-7.6732387,110.6284785
Rajeg,[],,Indonesia,IDN,Asia,-6.120756,106.504894
Pasuruan,[],,Indonesia,IDN,Asia,-7.640561,112.906665
Jombang,[],,Indonesia,IDN,Asia,-7.538806,112.237529
Tuban,[],,Indonesia,IDN,Asia,-6.898479,112.065497
Lamongan,[],,Indonesia,IDN,Asia,-7.1229318,112.3281935
Babat,[],,Indonesia,IDN,Asia,-7.1063013,112.1688743
Kayen,[Kajen],,Indonesia,IDN,Asia,-6.8948896,110.9856731
Jhelum,[],,Pakistan,PAK,Asia,32.9292155,73.7258593
Nakodar,[],,Pakistan,PAK,Asia,33.4486127,72.6512072
Dunshaughlin,[],,Ireland,IRL,Europe,53.512484,-6.5394448
Stamullen,[],,Ireland,IRL,Europe,53.6285486,-6.2622712
Pico de Loro,[],Batangas,Philippines,PHL,Asia,14.190545,120.598126
Nuvali,[],Laguna,Philippines,PHL,Asia,14.2366649,121.0570798
Pansol,[],Laguna,Philippines,PHL,Asia,14.1785854,121.183657
Muntinlupa,[],,Philippines,PHL,Asia,14.3892634,121.0449101
Apartado,[Apartadó],,Colombia,COL,South America,7.8849011,-76.6227461
Turbo,[],,Colombia,COL,South America,8.0952972,-76.7289956
Necocli,[Necoclí],,Colombia,COL,South America,8.4242821,-76.784019
Monteria,[Montería],,Colombia,COL,South America,8.7509361,-75.8786806
Santiago de Tolú,[Tolú],,Colombia,COL,South America,9.5241138,-75.5841794
Lucknow,[],UP,India,IND,Asia,26.8381,80.9346001
Kanpur,[],UP,India,IND,Asia,26.4609135,80.3217588
Agra,[],UP,India,IND,Asia,27.1752554,78.0098161
Allahabad,[Prayagraj],UP,India,IND,Asia,25.4381302,81.8338005
Varanasi,[],UP,India,IND,Asia,25.3356491,83.0076292
Meerut,[],UP,India,IND,Asia,28.995829,77.705811
Ranchi,[],JH,India,IND,Asia,23.3700501,85.3250387
Jamshedpur,[],JH,India,IND,Asia,22.8015194,86.2029579
Dhanbad,[],JH,India,IND,Asia,23.7952809,86.4309638
Bokaro Steel City,[],JH,India,IND,Asia,23.6579595,86.0839161
Bodh Gaya,[],BH,India,IND,Asia,24.695,84.9925
Jamui,[],BH,India,IND,Asia,24.9275595,86.2254945
Gaya,[],BH,India,IND,Asia,24.7964355,85.0079563
Bhagalpur,[],BH,India,IND,Asia,25.2494829,86.9828131
Banka,[],BH,India,IND,Asia,24.88,86.92
Cienaga,[Ciénaga],,Colombia,COL,South America,11.0107899,-74.2516386
Santa Marta,[],,Colombia,COL,South America,11.2320944,-74.1950916
Bhilai-Durg,[],CG,India,IND,Asia,21.1970645,81.3830195
Raigarh,[],CG,India,IND,Asia,22.2361795,83.3529534
Imphal,[],MN,India,IND,Asia,24.7991162,93.9364419
Churachandpur,[],MN,India,IND,Asia,24.3468839,93.6994143
Thoubal,[],MN,India,IND,Asia,24.6386954,93.996871
Tura,[],ML,India,IND,Asia,25.5125616,90.2171526
Jowai,[],ML,India,IND,Asia,25.4434703,92.1973181
